"","results"
"219","Here are the extracted details:

**Kampong:**
None mentioned (the text is in Malay and talks about a land sale, not a specific kampong)

**Price:**

* Price details:
	+ RM0.15 per ekar (12k) for land size less than 0.15ekar
	+ RM0.30 per ekar (24k) for land size between 0.15-5ekar

**Type:**
None mentioned (the text is about a land sale, not a property type)

However, since the text mentions ""am jenis kebenaran kekal"", which translates to ""am Kebenaran Kekal"" or ""in perpetuity"" land title, I assume this refers to the land type being sold.

**Storey:**
None mentioned

**Status:**

* New
* Proposed (since it's for sale)
* Under-construction (not explicitly mentioned but implied)

**Land_size:**
5.01ekar

**Floor_size:**
Not applicable (since it's a land sale, not an apartment or house sale)

**Beds:**
Not applicable (since it's a land sale)

**Baths:**
Not applicable (since it's a land sale)

**Land_type:**

* In perpetuity (Kebenaran Kekal)
* Leasehold (not explicitly mentioned but implied to be included in the price options)

**Additional Remark:**
The text mentions:

* Remaining details: RM500 minimum deposit, full refund with bank rejection letter
* Adjustments possible for land size based on buyer's needs
* Land is located near Sungai and Keluasan tanah (meaning it has water frontage)"
"220","Here are the extracted details:

* **Kampong**: Kampong Kilanas-Mulaut
* **Price**: $343,000.00 (negotiable)
* **Type**:
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: No mention
	+ Semi-detached: Yes
* **Storey**: Double storey
* **Status**: Ready to move in (last unit)
* **Land_size**: 0.109 acres (approx.)
* **Floor_size**: Approx. 2551 sqft
* **Beds**: 4 bedrooms per unit
* **Baths**: 4 toilets per unit
* **Land_type**: Kekal
* **Additional Remark**:
	+ Includes build-in cabinet for kitchen, wardrobe for master bedroom, flooring for first floor bedrooms, water tank, and water pump.
	+ Last unit available"
"221","Here are the extracted details:

**kampong**: Beribi

**price**: 
* B$558,000.00
* B$575,000.00

**type**: 
* Detached house
* Double storey

**storey**: Double storey

**status**: Proposed

**land_size**: 
* 0.154ac (first plot)
* 0.187ac (second plot)

**floor_size**: 4121 sq ft

**beds**: 6 rooms (implied to be bedrooms, but not explicitly stated as such)

**baths**: 7 toilets (implied to be bathrooms, but not explicitly stated as such)

**land_type**: Kekal

**Additional Remark**: The house is described as a double storey detached house with 6 rooms and 7 toilets."
"222","Here are the extracted details:

* **Kampong:** Jerudong
* **Price:** B$328,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Yes
* **Storey:** Double storey
* **Status:** New (last unit completed)
* **Land_size:** 0.114ac (approx. 4701 sq ft)
* **Floor_size:** 2825 sq ft
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 3 toilets (assuming bathrooms)
* **Land_type:** Kekal
* **Additional Remark:**
	+ Last unit completed
	+ 2825 sq ft
	+ 4 rooms
	+ 3 toilets"
"223","Here are the extracted details:

**kampong**: Bengkurong

**price**: $239,000.00

**type**:
* Apartment: Not mentioned
* Bungalow: Not mentioned
* Detached: Yes (double storey)
* Semi-detached: Not mentioned

**storey**: Double Storey

**status**: Proposed

**land_size**: 0.1235 acres (approximately 0.4991 hectares)

**floor_size**: 2063 sq ft (not clear if it's the land size or floor size, but likely floor size given the context)

**beds**: 4 bedrooms

**baths**: Not mentioned (only 3 toilets are mentioned)

**land_type**: Kekal (also known as In perpetuity)"
"224","Here are the extracted details:

**Kampong:**
- Kasat (village in Brunei)

**Price:**
- $130,000.00

**Type:**
- Semi-detached
- Bungalow house

**Storey:**
- Not mentioned (implied to be single storey as it's a bungalow)

**Status:**
- Under-construction
- Kekal (land type)

**Land Size:**
- 0.0758ac ( approx.) 
- 0.0790ac (approx.)

**Floor Size:**
- 1,215.23 sq ft

**Beds:**
- 4 rooms (implied to be bedrooms)

**Baths:**
- 2 toilets (implied to be bathrooms)

**Land Type:**
- Kekal"
"225","Here are the extracted details:

* **kampong**: Katok
* **price**: $700/month
* **type**: Apartment (specifically, ""one room"")
* **storey**: Not mentioned (assumed to be single storey, as it's a one-room apartment)
* **status**: For rent
* **land_size**: Not mentioned
* **floor_size**: Not mentioned
* **beds**: 1 bedroom (as it's a ""one room"" apartment)
* **baths**: 1 bathroom (assumed, not explicitly mentioned)
* **land_type**: Not specified
* **Additional Remark**: Air-conditioned and fully furnished

Let me know if you'd like me to clarify or add anything!"
"226","Here are the extracted details:

**1. Kampong:** Kilanas

**2. Price:** B$458,000.00

**3. Type:**
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned

**4. Storey:** Double storey

**5. Status:** Proposed

**6. Land Size:** 0.15 acres (approximately 6071 sqft)

**7. Floor Size:** 4200 sqft

**8. Beds:** 5 rooms

**9. Baths:** 5 toilets

**10. Land Type:** Kekal

**11. Additional Remark:**
	* Proposed
	* Remaining details not specified in the prompt"
"227","Here are the extracted details:

**Kampong (Village in Brunei)**: None mentioned, but the location is specified as Jerudong.

**Price**: $380,000.00

**Type**:
* Apartment: Not mentioned
* Bungalow: Not mentioned
* Detached: Yes
* Semi-detached: Not mentioned

**Storey**: Double storey

**Status**: Under-construction

**Land Size**:
* 0.1302 acres (approximately)

**Floor Size**: 2855.12 sq ft

**Beds (Number of Bedrooms)**: 6 rooms

**Baths (Number of Bathrooms)**: 5 toilets

**Land Type**: Kekal (a type of land ownership in Brunei)

**Additional Remark**:
* The house is a detached house
* It has a large size difference between the given land area (0.1302ac) and the actual land area used for construction (0.1236ac)
* Not applicable

**Caption**: Already provided."
"228","Here are the extracted details:

**1. Kampong:**
No specific kampong (village) in Brunei is mentioned.

**2. Price:**

* Starting price: $12,000
* Second option: $24,000
* Minimum deposit: $500

**3. Type:**
None of the types - apartment, bungalow, detached, semi-detached are mentioned.

**4. Storey:**
No information on whether it's a single storey or double storey is provided.

**5. Status:**
The status is not explicitly mentioned as new, proposed, or under-construction. However, the text mentions ""tanah untuk di jual"" which means ""land for sale"".

**6. Land_size:**
The land size is 5.01 ekar (approximately 2 hectares).

**7. Floor_size:**
No information on floor size is provided.

**8. Beds:**
Number of bedrooms not mentioned.

**9. Baths:**
Number of bathrooms not mentioned.

**10. Land_type:**
The type of land ownership is Kekal (in perpetuity) and the minimum required area is 0.15 ekar.

**11. Additional Remark:**

* The land is near a river (sungai).
* It's located in a flat area (inda bebukit).
* There are conditions that need to be met for the sale.
* The seller can adjust the land size according to the buyer's needs.
* Full refund with bank rejection letter.

Note: The text appears to be written in Malay, and I've done my best to translate and extract the relevant details. However, some information might have been lost in translation or not understood correctly."
"229","Here are the extracted details:

1. **Kampong**:
	* Sg Tilong (village in Brunei)
2. **Price**: $338,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Proposed (not new or under-construction)
6. **Land size**:
	* 0.108 acres
7. **Floor size**:
	* Not mentioned separately, but the total floor area is 2,719 sq ft
8. **Beds**: 
	* 4 rooms (assuming 4 bedrooms)
9. **Baths**:
	* 4 toilets (assuming 4 bathrooms)
10. **Land type**:
	* Kekal (a type of land tenure in Brunei)
11. **Additional Remark**:
	* Earthwork completed"
"230","Here are the extracted details:

1. **Kampong (Village)**:
	* Mulaut
2. **Price**:
	* $158,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: Yes
	* Detached: No
	* Semi-detached: Yes
4. **Storey**:
	* Single storey
5. **Status**:
	* Proposed
6. **Land Size**:
	* 0.05 ac (approximately 2,140 sq ft)
7. **Floor Size**:
	* 900 sq ft
8. **Beds (Bedrooms)**:
	* 3 rooms
9. **Baths (Bathrooms)**:
	* 2 toilets
10. **Land Type**:
	* Kekal
11. **Additional Remark**:
	* The remaining details are not explicitly mentioned, but it can be inferred that the property is a proposed semi-detached bungalow with 3 rooms and 2 toilets.
12. **Caption** (given)"
"231","Here are the extracted details:

**1. Kampong:**
- Serasa (village in Brunei)

**2. Price:**
- $120,000.00

**3. Type:**
- Bungalow
- Terrace

**4. Storey:**
- Single storey

**5. Status:**
- Under construction

**6. Land_size:**
- Not specified (no specific size mentioned)

**7. Floor_size:**
- Not specified (no specific floor area mentioned)

**8. Beds:**
- 4 rooms (assuming 4 bedrooms)

**9. Baths:**
- 2 toilets (assuming 2 bathrooms)

**10. Land_type:**
- Kekal

**11. Additional Remark:**
- Last unit
- Middle unit B
- Cash, bank loan, or government loan available"
"232","Here are the extracted details:

**Kampong:** Lumapas

**Price:** B$212,000.00

**Type:**

* Apartment: No
* Bungalow: Yes (detached)
* Detached: Yes
* Semi-detached: No

**Storey:** Single storey

**Status:** New/ Nearly completed

**Land_size:** 0.125 acres

**Floor_size:** 1,370 sq ft

**Beds:** 3 rooms

**Baths:** 2 toilets

**Land_type:** Kekal (In perpetuity)

**Additional Remark:**

* Last unit
* Remaining details not specified"
"233","Here are the extracted details:

1. **Kampong**: Lumapas
2. **Price**:
	* B$188,000 (lower end)
	* B$195,000 (upper end)
3. **Type**: 
	* Single Storey Bungalow
4. **Storey**: Single storey
5. **Status**: Proposed/Under-construction (piling soon)
6. **Land_size**:
	* 0.11 acres (lower end)
	* 0.122 acres (upper end)
7. **Floor_size**: Not explicitly mentioned, but implied to be a single-story dwelling.
8. **Beds**: 3 bedrooms
9. **Baths**: 2 toilets
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Only for sale to ""Rakyat Jati"" (local indigenous people)
	* Piling soon (construction work underway)"
"234","Here are the extracted details:

* **Kampong:** Not mentioned explicitly, but based on the location ""Katok"" which is a kampong in Brunei.
* **Price:** RM 7,00 (monthly)
* **Type:** Apartment
* **Storey:** 2nd floor (specifically mentioned as being fully furnished)
* **Status:** For rent (not new, proposed, or under-construction)
* **Land_size:** Not explicitly mentioned
* **Floor_size:** Not explicitly mentioned
* **Beds:** 1 (one room apartment)
* **Baths:** Not explicitly mentioned
* **Land_type:** Not explicitly mentioned
* **Additional Remark:**
	+ Fully furnished
	+ Location is Katok (a kampong in Brunei)"
"235","Here are the extracted details:

1. **Kampong:**
	* Kulapis
2. **Price:**
	* B$188,000 - B$178,000
3. **Type:**
	* Apartment: No
	* Bungalow: Yes (Semi-detached)
	* Detached: No
4. **Storey:**
	* Single storey
5. **Status:**
	* Under-construction
6. **Land size:**
	* 0.104ac - 0.087ac
7. **Floor size:**
	* 2,110 sq ft - 2,273 sq ft
8. **Beds (rooms):**
	* 3 rooms
9. **Baths:**
	* 2 toilets
10. **Land type:**
	* Kekal
11. **Additional Remark:**
	* The property is expected to be completed by Feb 2022.
	* It has 3 rooms and 2 toilets."
"236","Here are the extracted details:

1. **Kampong**: Not explicitly mentioned, but it's likely referring to Jerudong, a kampong (village) in Brunei.
2. **Price**: $420,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: Yes
	* Semi-detached: No mention
4. **Storey**: Double storey
5. **Status**: Not explicitly mentioned (but likely new)
6. **Land size**: 0.128 acre (approximately 5232 sq ft) and 0.137 acre (approximately 5517 sq ft)
7. **Floor size**: 2615 sq ft and 2963 sq ft
8. **Beds**: 5 bedrooms
9. **Baths**: 5 toilets
10. **Land type**: Not explicitly mentioned (but likely Leasehold or In perpetuity, as Kekal is not a typical land type)
11. **Additional Remark**: The price is negotiable.

Note: Some details are implied or inferred based on the context, but I've tried to extract all relevant information from the provided text."
"237","Here are the extracted details:

1. **Kampong**:
	* Not mentioned (the text appears to be in Malay and discusses a plot of land for sale, rather than a specific kampong)
2. **Price**:
	* $0.15 per ekar
	* Price adjustment available upon request ($12k for 0.188 ekars, $14.5k for 0.3 ekars)
3. **Type**:
	* Not mentioned (the text discusses a plot of land, not a house or apartment)
4. **Storey**:
	* Not applicable (since it's a plot of land and not a building)
5. **Status**:
	* Available for sale
6. **Land Size**:
	* 5.01 ekar
7. **Floor Size**:
	* Not applicable (since it's a plot of land, not a building)
8. **Beds**:
	* Not mentioned (this detail is typically relevant to houses or apartments)
9. **Baths**:
	* Not mentioned (ditto)
10. **Land Type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The land is flat, but can be adjusted in size according to the buyer's needs
	* A minimum deposit of $500 is required for booking
	* Full refund available with bank rejection letter"
"238","Here are the extracted details:

1. **Kampong**: Tanjong Nangka
2. **Price**:
	* Original price: $268k
	* Current price: $258k
3. **Type**:
	* Detached house
	* Double storey (mentioned twice)
4. **Storey**: Double storey
5. **Status**: Under construction (last unit)
6. **Land_size**: 0.13 ac (approximately 5431 sqft)
7. **Floor_size**: 2,002.49 sqft
8. **Beds**: 4 rooms (interpreted as 4 bedrooms)
9. **Baths**: 4 toilets (interpreted as 4 bathrooms)
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Last unit available
	* Now selling at $258k (reduced price)"
"239","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: $450,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: Yes
	* Semi-detached: No mention
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land_size**: 0.177 acres (approximately 725 sq m)
7. **Floor_size**: 3,226 sq ft (not explicitly mentioned as floor size, but implied to be the total area of the house)
8. **Beds**: 5 rooms
9. **Baths**: 5 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Remaining details not explicitly mentioned in your prompt, so I couldn't extract them.
12. **Caption**: Provided"
"240","Here are the extracted details:

**1. kampong**: 
- Subok (kampong/village in Brunei)

**2. price**: 
- $410,000.00

**3. type**: 
- Detached house
- Double storey

**4. status**: 
- Under-construction

**5. land_size**: 
- 0.163 acres (or approximately 661 m²)

**6. floor_size**: 
- No specific details provided, but the house has 5 rooms.

**7. beds**: 
- 5 bedrooms

**8. baths**: 
- 5 toilets

**9. land_type**: 
- Kekal (land ownership in perpetuity)

**10. Additional Remark**: 
- The remaining details are not specified in this format, but the additional remark is: ""The remaining details"""
"241","Here are the extracted details:

1. **Kampong**: Tg Bunut
2. **Price**: 
	* Min: $265,000
	* Max: $288,000
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Yes (Double storey)
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land_size**: 
	* Min: 0.0682ac
	* Max: 0.127ac
7. **Floor_size**: 2800 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Remaining details not explicitly mentioned"
"242","Here are the extracted details:

1. **Kampong**: Mata-Mata (village in Brunei)
2. **Price**: $580,000.00
3. **Type**:
	* Detached house
	* Double storey
4. **Storey**: Double storey
5. **Status**: Completed
6. **Land_size**: 0.173 acres
7. **Floor_size**: 4,630 sqft
8. **Beds**: 5 bedrooms
9. **Baths**: 5 bathrooms
10. **Land_type**: Kekal (In perpetuity)
11. **Additional Remark**:
	* Additional details not mentioned"
"243","Here are the extracted details:

1. **Kampong (Village)**: Jerudong
2. **Price**:
	* Selling price: $358,000
	* Asking price: $365,000
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: New (already built)
6. **Land_size**: 2803 sqft
7. **Floor_size**: Not mentioned (implied to be 2803 sqft as it's a double storey detached house)
8. **Beds**: 4 rooms (assuming bedrooms, no explicit mention of number of beds)
9. **Baths**: 3 toilets (assuming bathrooms, no explicit mention of number of baths)
10. **Land_type**: Kekal (In perpetuity)
11. **Additional Remark**:
	* Remaining details: 2 units left waiting for occupation
	* Land tenure: Kekal (In perpetuity)
12. **Caption**: 'double storey detached house at jerudong'"
"244","Here are the extracted details:

* **Kampong**: Bengkurong
* **Price**: $239,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey**: Double storey
* **Status**: Proposed (TCP submission)
* **Land_size**: 0.1246ac (approx. 0.0502 hectares or 502 sq m)
* **Floor_size**: 2107 sq ft
* **Beds**: 5 rooms
* **Baths**: 4 toilets
* **Land_type**: Kekal
* **Additional Remark**:
	+ Remaining details: None mentioned specifically, but may include additional features or notes not extracted here."
"245","Here are the extracted details:

* **Kampong**: Telanai
* **Price**: $348,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey**: Double storey
* **Status**: Proposed
* **Land_size**: 0.117ac / 0.118ac ( approx. 4,763 sq ft)
* **Floor_size**: 2,600 sq ft
* **Beds**: 4 rooms (assuming bedrooms)
* **Baths**: 4 toilets (assuming bathrooms)
* **Land_type**: Kekal
* **Additional Remark**: Remaining details not specified, but may include features and amenities of the property.
* **Caption**: Description of the property, including the fact that it is a detached house."
"246","Here are the extracted details:

* **Kampong**: Jang Sak (village in Brunei)
* **Price**: BND $500/month
* **Type**:
	+ Apartment
	+ Studio
* **Storey**: Single storey
* **Status**: Not explicitly mentioned, but possibly rented or available for rent
* **Land_size**: Not explicitly mentioned
* **Floor_size**: Not explicitly mentioned
* **Beds**: 1 (studio apartment)
* **Baths**: Not explicitly mentioned
* **Land_type**: Not explicitly mentioned
* **Additional Remark**:
	+ Fully furnished
	+ Lift available
	+ 1 car park available, but not covered"
"247","Here are the extracted details:

1. **Kampong (Village)**: Salar
2. **Price**:
	* Middle B: $125,000.00
	* Corner: $148,000.00
3. **Type**: 
	* Apartment: Not mentioned
	* Bungalow: Yes (Terrace Bungalow)
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: Single storey
5. **Status**:
	* New: Will start built early 2022
	* Proposed: Not mentioned
	* Under-construction: Not mentioned, but starting construction soon
6. **Land_size** (Range):
	* 0.0466 acres - 0.086 acres
7. **Floor_size** (Range): 
	* 1074 sqft - 1112 sqft
8. **Beds**: 3 rooms
9. **Baths**: 2 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Free sale purchase agreement
	* Water tank pump
	* Water heater
	* Kitchen cabinet B"
"248","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: $139,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Yes
	* Detached: No mention of this type
	* Semi-detached: No mention of this type
4. **Storey**: Single storey (not explicitly stated, but 1000 sq ft is a small size for a double-storey unit)
5. **Status**: Under construction
6. **Land_size**: 0.036 acres (approximately 14,625 sq ft)
7. **Floor_size**: Not applicable (as it's a single-storey bungalow)
8. **Beds**: 3 rooms (assuming bedrooms)
9. **Baths**: 2 toilets (assuming bathrooms)
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Remaining units: 4 left
	* Estimated completion date: October 2022
	* Land tenure: Kekal"
"249","Here are the extracted details:

* **Kampong**: No specific kampong (village in Brunei) is mentioned.
* **Price**:
	+ Price ranges: $12,000 to $24,000
	+ Minimum deposit: $500
* **Type**: 
	+ None of the specified types (apartment, bungalow, detached, semi-detached) are mentioned.
* **Storey**: No information is provided about the number of storeys.
* **Status**:
	+ Proposed
	+ Under-construction (implied by ""tanah untuk di jual"" which means ""land for sale"")
* **Land_size**: 5.01 ekar (approximately 0.80 hectares)
* **Floor_size**: Not mentioned
* **Beds**: Not specified (number of bedrooms)
* **Baths**: Not specified (number of bathrooms)
* **Land_type**: Kekal (in perpetuity)
* **Additional Remark**:
	+ The land is located near Sungai and has a flat terrain.
	+ The seller can adjust the land size according to the buyer's requirements if it exceeds 0.15 ekar.
	+ The price is negotiable, with options at $12,000, $14,500, or $24,000 for different sizes of land.

Note that some details are not explicitly mentioned in the text (e.g., floor size, beds, baths), but based on the context, I've tried to provide a possible interpretation."
"250","Here are the extracted details:

1. **Kampong**: Lumapas
2. **Price**: $228,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes (Double storey detached house)
	* Semi-detached: No
4. **Storey**: Double Storey
5. **Status**: Ready to build
6. **Land Size**:
	* 0.113ac (approx. 4567 sq ft)
	* 0.125ac (approx. 5102 sq ft, total land size including other units?)
7. **Floor Size**: 2500 sq ft
8. **Beds**: 4 rooms
9. **Baths**: 5 toilets
10. **Land Type**: Kekal (in perpetuity)
11. **Additional Remark**: Ready to build, 2 units left"
"251","Here are the extracted details:

**Kampong:** Jangsak (village in Brunei)

**Price Details:** RM 1,000 per month (nett) 

**Type:**

* Apartment: No
* Bungalow: No
* Detached: No
* Semi-detached: Yes

**Storey:** Double storey

**Status:** New (renovated)

**Land Size:** Not mentioned

**Floor Size:** Not mentioned

**Beds:** 3 rooms (assuming bedrooms, but exact number not clear)

**Baths:** Not mentioned

**Land Type:** Leasehold (not explicitly stated, but ""furnished for rent"" suggests leasehold)

**Additional Remark:**

* Strategic area
* Modern elegant decoration
* Newly renovated"
"252","Here are the extracted details:

* **Kampong:** Mengalit
* **Price:** $650,000 (monthly)
* **Type:**
	+ Apartment
	+ Fully furnished
* **Storey:** 1st floor (no mention of storey type)
* **Status:** Not explicitly mentioned, but appears to be available for rent/in use
* **Land_size:** Not mentioned
* **Floor_size:** Not mentioned
* **Beds:** 1 room (presumably a single bedroom apartment)
* **Baths:** Not specified
* **Land_type:** Not mentioned
* **Additional Remark:**
	+ No lift
	+ Fully furnished
	+ 1 covered car park
	+ Includes water and electricity"
"253","Here are the extracted details:

* **Kampong**: Manggis
* **Price**: BND 1,500 (net) per month (excluding water and electricity)
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes, it's a double storey detached house
	+ Semi-detached: Not mentioned
* **Storey**: Double storey
* **Status**: For rent (unfurnished)
* **Land_size**: 0.228 acres
* **Floor_size**: Not specified (just ""big compound"")
* **Beds**: 4 rooms (presumably bedrooms)
* **Baths**: 4 toilets (presumably bathrooms)
* **Land_type**: Leasehold (not explicitly mentioned, but the term ""Leasehold"" is implied by the mention of a rental agreement)
* **Additional Remark**: Just renovated and unfurnished"
"254","Here are the extracted details:

1. **Kampong**:
	* Tg Bunut
2. **Price**: $420,000.00
3. **Type**:
	* Detached house
	* Double storey
4. **Storey**:
	* Double storey
5. **Status**:
	* Ready for move-in (not new, proposed, or under-construction)
6. **Land_size**: 0.23 acres
7. **Floor_size**: 4300 sq ft
8. **Beds**: 6 rooms (assuming bedrooms)
9. **Baths**: 6 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal (a type of land tenure in Brunei)
11. **Additional Remark**:
	* The house has 6 rooms and 6 toilets
	* Located at Tg Bunut"
"255","Here are the extracted details:

* **Kampong**: Tg Nangka
* **Price**:
	+ Original price: 208k
	+ Current/offer price: 199k
* **Type**: Semi-detached house
* **Storey**: Double storey
* **Status**: Under-construction
* **Land_size**: 0.070ac (acres)
* **Floor_size**: 1880 sq ft
* **Beds**: 4 rooms
* **Baths**: 3 toilets
* **Land_type**: Kekal
* **Additional Remark**:
	+ The house is a semi-detached house.
	+ It is under construction."
"256","Here are the extracted details:

**1. Kampong:**
Kg Jerudong (village in Brunei)

**2. Price:**
- B$318,000.00
- B$355,000.00

**3. Type:**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Yes
- Semi-detached: Not mentioned

**4. Storey:**
Double storey

**5. Status:**
Under-construction

**6. Land size:**
0.120ac ( approx. 4938 sq ft) and 0.118ac ( approx. 4782 sq ft)

**7. Floor size:**
2600 sq ft

**8. Beds:**
5 rooms (assuming bedrooms, but not explicitly stated as ""bedrooms"")

**9. Baths:**
6 toilets (assuming bathrooms, but not explicitly stated as ""bathrooms"")

**10. Land type:**
In perpetuity land"
"257","Here are the extracted details:

1. **Kampong**: Kilanas
2. **Price**: B$255,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Mentioned (as a semi-detached house)
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land_size**: 0.065ac to 0.082ac
7. **Floor_size**: 2300 sq ft
8. **Beds**: Not specified (but mentioned as ""4 rooms"")
9. **Baths**: 4 toilets
10. **Land_type**: Kekal
11. **Additional Remark**: The house is located at Kilanas, is a semi-detached house, and has a double storey design.
12. **Note**: There seems to be an inconsistency in the land size, with two different values (0.065ac and 0.082ac) mentioned."
"258","Here are the extracted details:

* **Kampong:** Subok (village in Brunei)
* **Price:** $185,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
	+ Terrace house: Yes
* **Storey:** Double storey
* **Status:** Under-construction
* **Land_size:** 0.068 ac (approximately) and 0.11 ac (approximately)
* **Floor_size:** 1,884 sq ft
* **Beds:** 4 bedrooms
* **Baths:** 4 bathrooms
* **Land_type:** Kekal
* **Additional Remark:**
	+ Remaining details not specified, but it seems like the price and land size are mentioned in different measurements (dollars and acres)
	+ Note: The caption also mentions ""subok under construction"" which implies that it's a specific area or location within the kampong of Subok."
"259","Here are the extracted details:

1. **Kampong (Village in Brunei)**:
	* Tg Nangka
2. **Price**:
	* B$ 238,000.00
3. **Type**:
	* Semi-detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under construction
6. **Land Size**:
	* 0.055 acres (assuming ""ac"" is short for acre)
7. **Floor Size**: Not explicitly mentioned, but implied to be around 238,000 B$ considering the price details.
8. **Beds (Bedrooms)**:
	* 4 rooms
9. **Baths (Bathrooms)**:
	* 3 toilets
10. **Land Type**:
	* Kekal
11. **Additional Remark**:
	* The property is being sold as a double storey semi-detached house with 4 rooms and 3 toilets.
12. **Caption**: Already provided."
"260","Here are the extracted details:

1. **Kampong**: Lempaki Mulaut
2. **Price**:
	* $273,000.00 (first unit)
	* $283,000.00 (second unit)
3. **Type**:
	* Semi-detached house
4. **Storey**: Double storey
5. **Status**: Ready for move-in (already built and ready to occupy)
6. **Land_size**:
	* 0.070 acres (first unit)
	* 0.108 acres (second unit)
7. **Floor_size**: 1,950 sq ft
8. **Beds**: 4 bedrooms
9. **Baths**: 3 bathrooms
10. **Land_type**: Kekal
11. **Additional Remark**:
	* 2 units left
	* Ready for move-in (no construction required)
12. **Caption**: 'double storey semi-detached house at lempaki mulaut 2 units left ready move in'"
"261","Here are the extracted details:

1. **Kampong**:
	* Mentioned kampong: Kilanas
2. **Price**:
	* Price: $400,000.00
3. **Type**:
	* Type: Detached house
4. **Storey**:
	* Storey: Double storey
5. **Status**:
	* Status: New (ready to move in)
6. **Land Size**:
	* Land size: 0.132 acres
7. **Floor Size**:
	* Floor size: 3500 sqft
8. **Beds**:
	* Number of bedrooms: 5 rooms
9. **Baths**:
	* Number of bathrooms: Not specified
10. **Land Type**:
	* Land type: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available for sale, apartment is not mentioned, bungalow or semi-detached details are not provided"
"262","Here are the extracted details:

1. **kampong**: Jerudong
2. **price**: B$288,000.00 (negotiable)
3. **type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Yes
4. **storey**: Double storey
5. **status**: Under-construction
6. **land_size**: Not mentioned
7. **floor_size**: Not mentioned
8. **beds**: 4 rooms (assuming bedrooms, no specific mention of beds)
9. **baths**: 5 toilets (assuming bathrooms, assuming some are toilets)
10. **land_type**: Kekal
11. **Additional Remark**:
	* 4 rooms
	* 5 toilets"
"263","Here are the extracted details:

1. **Kampong**:
	* Jerudong (village in Brunei)
2. **Price**:
	* BDT 450,000
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**:
	* Double storey
5. **Status**:
	* Proposed
6. **Land_size**:
	* 0.182 acres (approximate)
7. **Floor_size**:
	* Not explicitly mentioned, but implied to be 3,391 sq ft (total floor area of the house)
8. **Beds**:
	* 5 rooms
9. **Baths**:
	* 5 toilets
10. **Land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The details include a remark about it being a ""double storey detached house"" and the mention of ""Kampong Jerudong""
12. **Caption**:
	* A caption that summarizes the details in a concise manner"
